id;Device;SpawnOrder;ObjectName;SpawnID;LandOnTable;Distance;ObjectRotation;ObjectHeight;ObjectPosAfterGrabLoss;ObjectDistanceToHeadFromGrab;ObjectPosAfterContact;TimeFromSpawnToGrab;TimeFromSpawnToGrabLoss;TimeFromSpawnToContact;TimeFromGrabToGrabLoss;TimeFromGrabToContact;TimeForDevice;TimeForTrainingPhase;DeviceOrder
3;Leap;29;Cube3x3x3(Clone);5;True;0,19321;"(0,000; 346,351; 0,000)";0,04548928;"(0,154; 0,075; -0,182)";0,42555;"(0,133; 0,015; -0,141)";0,7667819;1,211208;1,344543;0,4444264;0,5777615;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;30;Cube3x3x3(Clone);2;True;0,01184;"(0,000; 0,647; 0,000)";0,001025768;"(0,003; 0,031; 0,006)";0,46893;"(0,003; 0,016; 0,010)";2,255767;4,543961;4,588187;2,288191;2,332418;144,6365;117,8358;Leap-Oculus-LeapHHI
3;Oculus;1;Cube10x10x10(Clone);10;True;0,00688;"(0,000; 2,625; 0,000)";-0,0526701;"(0,002; 0,047; 0,007)";0,5904;"(0,002; 0,047; 0,007)";1,122607;2,089139;2,089139;0,9665325;0,9665325;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;2;Cube10x10x10(Clone);8;True;0,00669;"(0,000; 1,871; 0,000)";-0,05280016;"(0,005; 0,047; 0,004)";0,48656;"(0,005; 0,047; 0,004)";0,7111978;1,855856;1,855856;1,144658;1,144658;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;3;Cube10x10x10(Clone);1;True;0,00445;"(0,000; 0,291; 0,000)";-0,05053435;"(0,002; 0,049; 0,005)";0,59228;"(0,002; 0,049; 0,005)";0,9776288;2,077793;2,077793;1,100164;1,100164;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;4;Cube10x10x10(Clone);3;True;0,0063;"(0,000; 0,423; 0,000)";-0,052191;"(0,003; 0,048; 0,005)";0,59903;"(0,003; 0,048; 0,005)";0,8776452;2,666596;2,666596;1,788949;1,788949;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;5;Cube10x10x10(Clone);7;True;0,00621;"(0,000; 359,912; 0,000)";-0,05257127;"(0,003; 0,047; 0,006)";0,38043;"(0,003; 0,047; 0,006)";0,7416995;2,343374;2,343374;1,601675;1,601675;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;6;Cube10x10x10(Clone);5;True;0,00588;"(0,000; 359,605; 0,000)";-0,05307291;"(0,001; 0,047; 0,007)";0,44405;"(0,001; 0,047; 0,007)";0,666836;2,022682;2,022682;1,355846;1,355846;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;7;Cube10x10x10(Clone);2;True;0,00718;"(-0,001; 0,501; 0,001)";-0,05152164;"(0,000; 0,048; 0,007)";0,58219;"(0,000; 0,048; 0,007)";0,8673223;2,100128;2,100128;1,232805;1,232805;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;8;Cube10x10x10(Clone);9;True;0,00728;"(0,000; 2,189; 0,000)";-0,05144177;"(0,006; 0,049; 0,003)";0,55004;"(0,006; 0,049; 0,003)";0,7778513;2,277904;2,277904;1,500052;1,500052;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;9;Cube10x10x10(Clone);4;True;0,00273;"(0,000; 0,632; 0,000)";-0,05276129;"(-0,001; 0,047; 0,003)";0,56059;"(-0,001; 0,047; 0,003)";0,6445328;1,944267;1,944267;1,299734;1,299734;counting;72,34586;Leap-Oculus-LeapHHI
